Date,Open,High,Low,Close,Change %
"Jun 21, 2018","1,251.78","1,251.78","1,242.30","1,247.03",-0.25
"Jun 20, 2018","1,258.40","1,260.42","1,249.95","1,250.15",-0.56
"Jun 19, 2018","1,261.79","1,261.88","1,249.71","1,257.20",-0.70
"Jun 18, 2018","1,260.79","1,267.15","1,257.21","1,266.00",0.43
"Jun 15, 2018","1,265.43","1,265.49","1,258.68","1,260.52",-0.60
"Jun 14, 2018","1,273.66","1,274.62","1,266.75","1,268.18",-0.41
"Jun 13, 2018","1,267.66","1,275.81","1,266.90","1,273.37",0.39
"Jun 12, 2018","1,271.01","1,272.69","1,265.80","1,268.48",-0.11
"Jun 11, 2018","1,278.30","1,278.53","1,269.90","1,269.93",-0.47
"Jun 08, 2018","1,274.55","1,278.86","1,272.10","1,275.94",0.09
"Jun 07, 2018","1,290.36","1,291.39","1,270.17","1,274.83",-1.00
"Jun 06, 2018","1,288.28","1,290.53","1,285.59","1,287.76",-0.08
"Jun 05, 2018","1,282.31","1,288.91","1,281.98","1,288.81",0.41
"Jun 04, 2018","1,284.91","1,286.46","1,277.79","1,283.61",0.03
"Jun 01, 2018","1,275.54","1,283.46","1,273.45","1,283.25",0.96
"May 31, 2018","1,273.97","1,280.49","1,270.91","1,271.05",-0.06
"May 30, 2018","1,274.07","1,278.70","1,270.82","1,271.79",0.12
"May 29, 2018","1,275.46","1,280.53","1,269.48","1,270.22",-0.49
"May 25, 2018","1,283.09","1,283.09","1,276.49","1,276.53",-0.62
"May 24, 2018","1,280.52","1,287.16","1,279.53","1,284.52",0.23
"May 23, 2018","1,277.11","1,281.57","1,275.03","1,281.53",0.15
"May 22, 2018","1,286.73","1,287.33","1,277.18","1,279.64",-0.44
"May 21, 2018","1,287.59","1,294.46","1,282.57","1,285.25",-0.08
"May 18, 2018","1,280.17","1,287.57","1,279.50","1,286.29",0.51
"May 17, 2018","1,275.79","1,281.69","1,274.37","1,279.82",0.23
"May 16, 2018","1,277.96","1,280.14","1,272.99","1,276.84",-0.11
"May 15, 2018","1,273.55","1,280.68","1,272.97","1,278.28",0.26
"May 14, 2018","1,279.12","1,282.45","1,274.05","1,275.00",-0.22
"May 11, 2018","1,273.26","1,279.82","1,271.60","1,277.81",0.37
"May 10, 2018","1,272.13","1,274.90","1,268.06","1,273.04",0.22
"May 09, 2018","1,265.30","1,270.53","1,262.05","1,270.30",0.43
"May 08, 2018","1,254.88","1,265.75","1,254.53","1,264.85",0.67
"May 07, 2018","1,253.67","1,258.62","1,252.32","1,256.38",0.22
"May 04, 2018","1,258.62","1,258.62","1,250.35","1,253.64",-0.72
"May 03, 2018","1,255.20","1,264.46","1,250.89","1,262.72",0.80
"May 02, 2018","1,245.64","1,255.76","1,245.64","1,252.70",0.61
"May 01, 2018","1,249.62","1,250.31","1,242.66","1,245.09",-0.34
"Apr 30, 2018","1,246.09","1,253.94","1,245.51","1,249.38",0.45
"Apr 27, 2018","1,256.68","1,257.19","1,240.57","1,243.75",-0.94
"Apr 26, 2018","1,253.20","1,258.14","1,250.62","1,255.49",0.18
"Apr 25, 2018","1,261.71","1,262.22","1,246.47","1,253.28",-0.67
